Lugar;Espacialidade;"COD IBGE";"IDHM Renda (2010)";"IDHM Longevidade (2010)";"IDHM Educação (2010)";"Taxa de analfabetismo - 11 a 14 anos (2010)";"Taxa de analfabetismo - 15 a 17 anos (2010)";"Taxa de analfabetismo - 18 a 24 anos (2010)";"Taxa de analfabetismo - 25 a 29 anos (2010)";"Taxa de analfabetismo - 25 anos ou mais (2010)";"Taxa de analfabetismo - 15 anos ou mais (2010)";"Taxa de analfabetismo - 18 anos ou mais (2010)";"Renda per capita (2010)"
"Solar Ville / Carla Cristina (Goiânia , RM Goiânia)";UDH;--;0,766;0,869;0,671;0,49;0,00;0,29;1,07;2,32;1,89;2,01;937,95
"Sol Nascente / Bethel / Conjunto Castelo Branco / Cidade Jardim (Goiânia , RM Goiânia)";UDH;--;0,877;0,912;0,858;0,76;1,34;0,41;0,91;1,73;1,48;1,49;1873,15
"Unidade Territorial de Planejamento Caravelas : Ipanema / Boa Sorte / Amin Camargo (Goiânia , RM Goiânia)";UDH;--;0,709;0,822;0,706;1,23;0,70;1,17;0,82;5,63;4,46;4,77;660,20
"Unidade Territorial de Planejamento Finsocial (Goiânia , RM Goiânia)";UDH;--;0,692;0,773;0,641;1,88;1,12;0,72;1,26;6,42;5,04;5,35;592,38
"Unidade Territorial de Planejamento Jardim Primavera (Goiânia , RM Goiânia)";UDH;--;0,648;0,738;0,537;1,97;0,93;1,05;2,17;10,04;7,54;8,18;451,54
"Unidade Territorial de Planejamento João Braz (Goiânia , RM Goiânia)";UDH;--;0,722;0,847;0,647;1,25;1,08;0,89;0,96;6,27;4,91;5,22;716,03
"Unidade Territorial de Planejamento Mutirão / Unidade Territorial de Planejamento Curitiba (Goiânia , RM Goiânia)";UDH;--;0,681;0,777;0,625;1,91;0,93;1,17;1,17;8,49;6,55;7,01;552,66
"Unidade Territorial de Planejamento Nordeste : Represa João Leite (Goiânia , RM Goiânia)";UDH;--;0,712;0,801;0,601;1,23;2,99;0,81;1,89;8,56;6,84;7,20;670,51
"Unidade Territorial de Planejamento Noroeste : Bandeirantes / Maracanã (Goiânia , RM Goiânia)";UDH;--;0,725;0,820;0,661;2,82;3,31;0,31;2,60;8,53;6,90;7,17;730,12
"Unidade Territorial de Planejamento Oeste : Jardim Conquista / Parque Bom Jesus (Goiânia , RM Goiânia)";UDH;--;0,683;0,771;0,604;1,83;2,15;0,39;3,62;7,47;5,87;6,12;561,95
"Unidade Territorial de Planejamento Parque Oeste Industrial (Goiânia , RM Goiânia)";UDH;--;0,710;0,833;0,685;1,22;1,56;1,02;1,39;6,85;5,48;5,75;664,88
"Unidade Territorial de Planejamento Parque Santa Rita : Sul do Setor Eli Forte (Goiânia , RM Goiânia)";UDH;--;0,683;0,771;0,604;2,70;1,75;1,32;1,87;7,60;6,08;6,43;561,95
"Unidade Territorial de Planejamento Santa Genoveva (Goiânia , RM Goiânia)";UDH;--;0,894;0,937;0,836;0,96;0,00;0,42;0,27;1,90;1,57;1,66;2089,20
"Unidade Territorial de Planejamento Santo Antônio (Goiânia , RM Goiânia)";UDH;--;0,799;0,893;0,786;0,49;1,83;0,22;0,88;3,17;2,56;2,61;1157,18
"Unidade Territorial de Planejamento São Domingos (Goiânia , RM Goiânia)";UDH;--;0,623;0,740;0,540;2,77;1,52;1,07;1,90;10,33;7,74;8,36;387,06
